date,title,nb
2018-05-30,Who Is Mike Parson; Missouri’s New Governor?,1
2018-05-23,Amy McGrath; Once a Fighter Pilot; Wins Democratic Primary for Kentucky’s 6th District,1
2018-04-28,Trump’s Role in Midterm Elections Roils Republicans,1
2018-05-14,Pence Is Trying to Control Republican Politics. Trump Aides Aren’t Happy.,1
2018-05-31,Never Mind the News Media: Politicians Test Direct-to-Voter Messaging,1
2018-05-25,Concerned by Trump; Some Republicans Quietly Align With Democrats,1
2018-05-09,Democrats in Rust Belt: Stay Close to Trump; but Not Too Close,1
2018-05-23,Stacey Abrams Wins Georgia Democratic Primary for Governor; Making History,1
2018-04-25,Don Blankenship Is a West Virginia Senate Candidate. He Lives in Nevada.,1
2018-05-21,Hillary and Bill Clinton Go Separate Ways for 2018 Midterm Elections,1
2018-03-21,Denounced by His Party as a Nazi; Arthur Jones Wins Illinois G.O.P. Congressional Primary,1
2018-05-07,Trump Weighs In on West Virginia Senate Race in Sign of Republican Anxiety,1
2018-05-27,The Evangelical Fight to Win Back California,1
2018-04-12,Senators Had a Lot to Say About Facebook. That Hasn’t Stopped Them From Using It.,1
2018-06-01,How Robert Kennedy’s Assassination Changed American Politics,1
2018-04-25,Debbie Lesko Wins Arizona Special Election for Congress; Rallying G.O.P.,1
2018-04-23,The Fight for Wisconsin Is On as Outside Money Pours Into Senate Race,1
2018-05-22,Georgia; Arkansas and Kentucky Primaries: Top Races to Watch,1
2018-04-18,Across Midwest; Farmers Warn of G.O.P. Losses Over Trump’s Trade Policy,1
2018-05-17,Superdelegates Are No. 1 on the Democratic Party To-Do List,1
2018-05-16,Pennsylvania Primaries Deliver Strong Wins for Democratic Women,1
2018-03-21,Gov. Bruce Rauner and J.B. Pritzker to Face Off in Illinois,1
2018-05-29,Stacey Abrams Didn’t Play It Safe. Neither Do These Female Candidates.,1
2018-05-09,Don Blankenship Loses West Virginia Republican Primary for Senate,1
2018-05-19,Black; Female and Running for Governor: Can She Win in the South?,1
2018-02-25,CPAC Official Says Michael Steele Was Chosen to Lead G.O.P. Because He’s ‘a Black Guy’,1
2018-05-14,An Evangelical Journalist Finds His Calling at the White House,1
2018-03-18,Nancy Pelosi Wants to Lead. House Democratic Candidates Aren’t So Sure.,1
2018-03-12,Six Claims Trump Made at His Weekend Rally That Were False or Lacked Context,1
2018-04-11,Paul Ryan Upends Republican Hopes and Plans for Midterm Elections,1
2017-11-30,Trump Sells Tax Plan With False Claims,1
2018-04-21,Fearing Chaos; National Democrats Plunge Into Midterm Primary Fights,1
2018-02-01,Fact Check: Democratic Responses to Trump’s State of the Union,1
2018-01-03,Trump’s Aviation Boast Fails to Get in the Air,1
2018-03-20,Mississippi Governor Defies White House With His G.O.P. Appointee to Senate,1
2018-04-09,Year of the Woman? In Arizona; It’s Women; Plural; and It’s Both Parties,1
2018-01-19,Trump Overstates Government Shutdown’s Effect on the Military,1
2018-04-06,Bernie Sanders Courts Black Voters Anew. But an Obama Reference Stings.,1
2018-04-01,After Gun Control Marches; ‘It’ll Go Away’ vs. ‘We Are Not Cynical Yet’,1
2018-03-22,Beyond Gun Control; Student Marchers Aim to Upend Elections,1
2018-01-23,How Truthful Was Trump in His First Year? Before His State of the Union; What Our Fact Checks Show,1
2017-12-05,Emmanuel Macron Warns Trump Over Plan to Recognize Jerusalem as Israel’s Capital,1
2017-12-09,Moore’s Rebuke of His Accuser and Other Distortions in Alabama’s Senate Race,1
2018-01-12,These Claims About ‘Chain Migration’ Are Not Accurate,1
2017-08-16,Does Amazon Pay Taxes? Contrary to Trump Tweet; Yes,1
2017-10-18,Ted Cruz; Who Is Not the Zodiac Killer; Acknowledges a Long-Running Joke,1
2017-12-12,Fingerprints of Russian Disinformation: From AIDS to Fake News,1
2017-09-26,Are N.F.L. Ratings ‘Way Down;’ as Trump Says? Not Exactly,1
2017-10-14,Assessing Trump’s Criticisms of Iran and the Nuclear Deal,1
2017-10-26,‘Benghazi on Steroids’? Niger Claims Range From Premature to Conspiratorial,1
2017-09-22,In Beijing and Abu Dhabi; Signs of Bannon’s Continued Influence,1
2017-07-11,Donald Trump Jr. and Russia: How The Times Connected the Dots,1
2017-06-16,Mueller; Sessions and Cuba: Trump News of the Week,1
2017-02-16,‘Something Big Is Happening’: Readers React to Trump’s Russian Ties,1
2016-08-02,New Poll Reflects a Post-Convention Bounce for Hillary Clinton,1
2016-09-07,New National Poll Shows Donald Trump and Hillary Clinton Essentially Tied,1
2016-09-16,Donald Trump; Interrupted. He Calls Flint Pastor Who Cut In ‘a Nervous Mess.’,1
2016-11-02,Presidential Election: Trump Hits $100 Million in Small Donations in October; Team Says,1
2016-07-22,Donald Trump and Hillary Clinton Deadlocked in New Ohio Poll,1
2016-06-21,New Poll Shows Hillary Clinton Holding Edge on Donald Trump,1
2016-07-27,Democratic Convention Night 2: What You Missed,1
2016-09-09,Hillary Clinton Emphasizes Importance of Faith to Black Audience,1
2016-06-21,Man Arrested at Rally Tells Authorities He Wanted to Kill Donald Trump,1
2016-07-20,Republican Convention Night 2: What You Missed,1
2016-06-22,Poll Gives Hillary Clinton Good News in Three Crucial States,1
2016-06-02,Clinton and Trump in Tight Race; Poll Shows; With Votes Split on Gender Lines,1
2016-07-14,Polls in 3 Crucial States Show Donald Trump Improving,1
2016-05-26,Donald Trump Dismisses National Political Director After 6 Weeks on the Job,1
2016-06-02,Hispanic Official to Leave R.N.C. in Sign of Disaffection With Donald Trump,1
2016-03-02,How the Candidates Fared in Georgia; Massachusetts; Texas and Virginia,1
2016-04-27,Ted Cruz Names Carly Fiorina as His Running Mate; Seeking a Jolt,1
2016-03-07,What You Missed in the Debate,1
2015-08-06,Eleanor Roosevelt Is Top Choice for the $10 Bill; Poll Finds,1
2015-08-22,The Person Behind Those ‘Bad Lip Reading’ Videos Has a Favorite Politician (No; It’s Not Donald Trump.),1
2016-04-15,Transcript: Democratic Presidential Debate in Brooklyn,1
2016-03-07,Transcript of the Democratic Presidential Debate in Flint; Mich.,1
2015-12-16,Transcript: Republican Presidential Debate,1
2015-10-14,Full Transcript: Democratic Presidential Debate,1
2013-06-03,Death of Senator Places Christie in Difficult Spot,1
2012-08-30,Tuning In: Fox Wins Convention Viewers,1
2012-08-31,Confrontations: An Interview Turns Unruly,1
2012-09-14,A Convention Lift For Springsteen; Too,1
2012-09-12,Obama Ad Campaign: In Wisconsin; Acting to Hold On,1
2012-09-08,Ad Run Canceled: Akin's Finances in Question,1
2012-09-07,Tough Choices: Clinton or Football?,1
2012-09-15,Demographic Shift: More Women Running for Office,1
2012-08-29,The Democratic Convention: Speaking Slot for Outspoken Nun,1
2012-11-23,A Family Business in Disarray,1
2012-09-11,Missteps and Surprises Turn Battle for the Senate Into a Guessing Game,1
2012-07-09,Romney Mines the Hamptons for Campaign Cash,1
